,Brand,Model,Price,Location,Year,Engine_Liter,Car_Age
99,Toyota,Sienna,11700000,Атырау,2015,3.5,10
100,Toyota,RAV4,10800000,Алматы,2013,2.5,12
101,Toyota,Camry,6700000,Уральск,2011,2.5,14
102,Toyota,Land Cruiser,26000000,Алматы,2014,4.6,11
103,Toyota,Camry,4500000,Талдыкорган,2006,2.4,19
104,Toyota,Ipsum,3000000,Семей,1997,2.0,28
105,Toyota,Land Cruiser,18500000,Караганда,2011,4.7,14
106,Toyota,Corolla,3100000,Алматы,2006,1.6,19
107,Toyota,Land Cruiser,52000000,Шымкент,2022,3.5,3
108,Toyota,Camry,8100000,Темиртау,2013,2.5,12
109,Toyota,Camry,6300000,Атырау,2009,2.4,16
110,Toyota,Corolla,1500000,Семей,1999,1.3,26
111,Toyota,RAV4,6300000,Шымкент,2007,2.0,18
112,Toyota,Matrix,5000000,Кокшетау,2009,1.8,16
113,Toyota,Corolla,1100000,Семей,1996,1.6,29
114,Toyota,RAV4,17800000,Уральск,2023,2.5,2
115,Toyota,Camry,9500000,Астана,2013,2.5,12
116,Toyota,RAV4,11700000,Астана,2016,2.0,9
117,Toyota,RAV4,15000000,Астана,2019,2.0,6
118,Toyota,RAV4,17700000,Астана,2023,2.0,2
119,Toyota,Hilux,10000000,Актобе,2013,2.7,12
120,Toyota,Camry,6500000,Костанай,2007,2.4,18
121,Toyota,Corolla,4950000,Тараз,2008,1.6,17
122,Toyota,Camry,4300000,Атырау,2008,2.4,17
123,Toyota,Highlander,13500000,Петропавловск,2013,3.5,12
124,Toyota,4Runner,8500000,Кульсары,2004,4.0,21
125,Toyota,RAV4,11700000,Кызылорда,2018,2.5,7
126,Toyota,Land Cruiser,21000000,Астана,2013,4.6,12
127,Toyota,Land Cruiser,25000000,Усть-Каменогорск,2016,4.5,9
128,Toyota,Camry,6630000,Астана,2015,2.5,10
129,Toyota,Land Cruiser Prado,5500000,Алматы,1996,3.0,29
130,Toyota,Mark II,2500000,Петропавловск,1996,2.0,29
131,Toyota,Land Cruiser Prado Prestige,45390000,Шымкент,2025,2.7,0
132,Toyota,Alphard,5400000,Актау,2007,2.4,18
133,Toyota,Sienna,13000000,Атырау,2015,3.5,10
134,Toyota,Camry,17000000,Астана,2023,2.5,2
135,Toyota,Camry,3600000,Алматы,2000,2.2,25
136,Toyota,Corolla,3400000,Атырау,2005,1.6,20
137,Toyota,Highlander,15000000,Костанай,2017,3.5,8
138,Toyota,RAV4,13000000,Алматы,2018,2.0,7
139,Toyota,Camry,27000000,Алматы,2025,2.5,0
140,Toyota,Corolla,6900000,Алматы,2015,1.6,10
141,Toyota,Camry,3500000,Уральск,2006,3.5,19
142,Toyota,Camry,9000000,Костанай,2016,2.5,9
143,Toyota,Caldina,2200000,Алматы,1996,2.0,29
144,Toyota,Camry,4600000,Уральск,2010,2.5,15
145,Toyota,Camry,25190000,Астана,2025,2.5,0
146,Toyota,Camry,8700000,Шымкент,2020,2.5,5
147,Toyota,FJ Cruiser,13800000,Тараз,2006,4.0,19
148,Toyota,RAV4,8400000,Алматы,2012,2.0,13
149,Toyota,Estima,7500000,Атырау,2004,3.0,21
150,Toyota,Camry,7500000,Алматы,2014,2.5,11
151,Toyota,Camry,3400000,Баянаул,2000,2.2,25
152,Toyota,Camry,6200000,Петропавловск,2006,2.4,19
153,Toyota,Sienna,11500000,Жанаозен,2011,3.5,14
154,Toyota,Sienna,8000000,Алматы,2015,3.5,10
155,Toyota,Camry,5300000,Атырау,2016,2.5,9
156,Toyota,Land Cruiser Prado,13250000,Кульсары,2007,2.7,18
157,Toyota,Highlander,22000000,Шымкент,2021,2.5,4
158,Toyota,Land Cruiser,20000000,Актобе,2008,4.0,17
159,Toyota,Carina E,1150000,Алматы,1997,1.6,28
160,Toyota,Estima,8500000,Алматы,2006,3.5,19
161,Toyota,Land Cruiser Prado,7000000,Актобе,2007,2.7,18
162,Toyota,Nadia,2700000,Алматы,1999,2.0,26
163,Toyota,Camry,4500000,Атырау,2006,3.5,19
164,Toyota,4Runner,12000000,Талдыкорган,2007,4.0,18
165,Toyota,Land Cruiser Prado,32500000,Астана,2023,2.7,2
166,Toyota,Highlander,7500000,Алматы,2007,3.3,18
167,Toyota,Camry,6500000,Туркестан,2006,2.4,19
168,Toyota,bB,4500000,Алматы,2006,1.5,19
169,Toyota,Crown Majesta,7800000,Темиртау,2010,4.6,15
170,Toyota,Land Cruiser,34300000,Алматы,2018,4.6,7
171,Toyota,Sienna,10000000,Атырау,2015,3.5,10
172,Toyota,Wish,5300000,Атырау,2013,2.0,12
173,Toyota,Land Cruiser Prado,13500000,Шымкент,2012,3.0,13
174,Toyota,Corolla,13500000,Астана,2023,1.6,2
175,Toyota,4Runner,18500000,Актау,2019,4.0,6
176,Toyota,Alphard,8000000,Шымкент,2006,2.4,19
177,Toyota,Sienna,15700000,Жанаозен,2017,3.5,8
178,Toyota,Sienna,12800000,Алматы,2021,2.5,4
179,Toyota,Ipsum,3750000,Алматы,1997,2.0,28
180,Toyota,Camry Luxe,24690000,Павлодар,2025,2.5,0
181,Toyota,RAV4 Prestige,14450000,Астана,2021,2.0,4
182,Toyota,Land Cruiser Premium+,46500000,Алматы,2021,3.5,4
183,Toyota,Land Cruiser Prado Comfort+,22600000,Атырау,2019,2.7,6
184,Toyota,Highlander,12400000,Астана,2012,3.5,13
185,Toyota,Camry,6100000,Шымкент,2007,3.5,18
186,Toyota,Land Cruiser Prado Comfort+,37990000,Жезказган,2025,2.7,0
187,Toyota,Camry,3500000,Алматы,1999,2.2,26
188,Toyota,Camry,12800000,Актобе,2016,2.5,9
189,Toyota,Aristo,3300000,Алматы,2000,3.0,25
190,Toyota,Highlander,15500000,Алматы,2018,2.7,7
191,Toyota,Hilux,17900000,Астана,2020,2.7,5
192,Toyota,Highlander,12700000,Степногорск,2011,3.5,14
193,Toyota,Land Cruiser Prado,29000000,Алматы,2022,4.0,3
194,Toyota,Carina ED,2000000,Алматы,1996,2.0,29
195,Toyota,Camry,800000,Кокшетау,1992,2.2,33
196,Toyota,Camry,7900000,Алматы,2014,2.5,11
197,Toyota,Land Cruiser,22200000,Шымкент,2012,4.6,13
198,Toyota,Alphard,8000000,Шымкент,2005,3.0,20
199,Toyota,Camry,1400000,Астана,1992,2.2,33
200,Toyota,Land Cruiser,42900000,Алматы,2020,4.5,5
201,Toyota,Camry,2000000,Алматы,1997,2.2,28
202,Toyota,Camry,12400000,Алматы,2019,2.5,6
203,Toyota,Mark II Qualis,3400000,Алматы,1997,2.5,28
204,Toyota,Camry,1250000,Астана,1993,3.0,32
205,Toyota,Camry,21000000,Актобе,2024,2.5,1
206,Toyota,Highlander,13000000,Уральск,2018,3.5,7
207,Toyota,Camry,23000000,Астана,2024,2.5,1
208,Toyota,Sienna,13300000,Алматы,2014,3.5,11
209,Toyota,Estima,8500000,Астана,2010,2.4,15
210,Toyota,Carina E,2200000,Павлодар,1996,1.6,29
211,Toyota,Highlander,24500000,Астана,2022,2.0,3
212,Toyota,4Runner,11400000,Актобе,2006,4.0,19
213,Toyota,Camry,7000000,Семей,2012,2.5,13
214,Toyota,Estima,5000000,Усть-Каменогорск,2001,3.0,24
215,Toyota,Camry,12000000,Костанай,2015,3.5,10
216,Toyota,Land Cruiser,52000000,Астана,2021,3.5,4
217,Toyota,Corolla,5800000,Астана,2013,1.6,12
218,Toyota,Land Cruiser Prado,14500000,Уральск,2008,4.0,17
219,Toyota,Granvia,6500000,Алматы,1998,3.0,27
220,Toyota,Camry,5800000,Хромтау,2010,2.5,15
221,Toyota,Camry,7100000,Астана,2010,2.4,15
222,Toyota,Alphard,8800000,Усть-Каменогорск,2006,2.4,19
223,Toyota,Camry,7200000,Алматы,2010,2.4,15
224,Toyota,Land Cruiser Prado,13600000,Алматы,2008,2.7,17
225,Toyota,Highlander,15500000,Алматы,2013,3.5,12
226,Toyota,Camry,7000000,Алматы,2008,2.4,17
227,Toyota,Camry,6200000,Актау,2015,2.5,10
228,Toyota,Highlander,8500000,Алматы,2008,3.3,17
229,Toyota,Camry,13600000,Шымкент,2021,2.0,4
230,Toyota,Windom,1000000,Усть-Каменогорск,1995,2.5,30
231,Toyota,Camry,8800000,Уральск,2012,3.5,13
232,Toyota,Camry,8700000,Алматы,2013,2.5,12
233,Toyota,Corolla,9600000,Астана,2022,2.0,3
234,Toyota,Gaia,3264477,Тараз,1998,2.0,27
235,Toyota,RAV4,11000000,Алматы,2013,2.0,12
236,Toyota,Auris,4000000,Талгар,2007,1.6,18
237,Toyota,Ipsum,4000000,Алматы,2002,2.4,23
238,Toyota,RAV4,13499000,Алматы,2019,2.0,6
239,Toyota,Camry,8500000,Актобе,2015,2.5,10
240,Toyota,Tundra,30000000,Шымкент,2023,3.4,2
241,Toyota,Land Cruiser Prado,12900000,Алматы,2008,2.7,17
